	SVL	Mass
Alopoglossus_atriventris	55.0	3.7
Alopoglossus_buckleyi	62.3	5.6
Alopoglossus_copii	80.0	12.8
Alopoglossus_festae	64.5	6.3
Alopoglossus_lehmanni	33.3	0.7
Alopoglossus_viridiceps	64.1	6.2
Alsophis_antiguae	700.0	116.8
Alsophis_antillensis	930.0	241.7
Alsophis_danforthi	940.0	144.2
Alsophis_manselli	940.0	248.4
Alsophis_rijgersmaei	790.0	159.2
Alsophis_rufiventris	920.0	235.1
Alsophis_sajdaki	1032.0	315.5
Alsophis_sanctonum	900.0	222.2
Alsophis_sibonius	905.0	225.4
Alsophylax_laevis	37.8	1.3
Alsophylax_loricatus	32.8	0.9
Alsophylax_pipiens	41.6	1.7
Alsophylax_przewalskii	35.6	1.1
Alsophylax_szczerbaki	32.8	0.9
Alsophylax_tadjikiensis	31.0	0.8
Altiphylax_baturensis	58.5	4.3
Altiphylax_levitoni	44.9	2.1
Altiphylax_mintoni	40.0	1.5
Altiphylax_stoliczkai	55.0	3.7
Altiphylax_tokobajevi	49.5	2.7
Altiphylax_yarkandensis	50.8	2.9
Amalosia_jacovae	61.6	4.6
Amalosia_lesueurii	80.0	10.3
Amalosia_obscura	62.0	4.7
Amalosia_rhombifer	80.0	10.3
Amapasaurus_tetradactylus	30.0	0.5
Amastridium_sapperi	725.0	74.6
Amastridium_veliferum	725.0	74.6
Amblyodipsas_concolor	850.0	95.0
Amblyodipsas_dimidiata	515.0	23.1
Amblyodipsas_katangensis	405.0	11.7
Amblyodipsas_microphthalma	330.0	6.6
Amblyodipsas_polylepis	1120.0	206.9
Amblyodipsas_rodhaini	439.0	14.7
Amblyodipsas_teitana	434.0	14.3
Amblyodipsas_unicolor	1140.0	217.5
Amblyodipsas_ventrimaculata	480.0	19.0
Amblyrhynchus_cristatus	560.0	7406.5
Ameiva_aggerecusans	99.3	29.1
Ameiva_ameiva	210.0	298.6
Ameiva_atrata	104.0	33.6
Ameiva_atrigularis	190.0	218.7
Ameiva_auberi	136.0	77.3
Ameiva_bifrontata	128.0	64.0
Ameiva_chrysolaema	160.0	128.2
Ameiva_cineracea	150.0	104.9
Ameiva_concolor	128.0	64.0
Ameiva_corax	132.0	70.5
Ameiva_corvina	133.0	72.1
Ameiva_dorsalis	117.0	48.4
Ameiva_erythrocephala	140.0	84.6
Ameiva_exsul	201.0	260.6
Ameiva_fuliginosa	105.0	34.6
Ameiva_fuscata	250.0	513.6
Ameiva_griswoldi	200.0	256.6
Ameiva_jacuba	106.0	35.6
Ameiva_lineolata	59.0	5.8
Ameiva_major	197.0	244.8
Ameiva_maynardi	72.0	10.7
Ameiva_nodam	101.0	30.7
Ameiva_pantherina	152.0	109.3
Ameiva_parecis	90.0	21.4
Ameiva_plei	181.0	188.1
Ameiva_pluvianotata	169.0	152.0
Ameiva_polops	69.0	9.4
Ameiva_praesignis	243.0	470.1
Ameiva_provitaae	135.0	75.6
Ameiva_reticulata	149.1	102.9
Ameiva_taeniura	105.0	34.6
Ameiva_wetmorei	52.4	4.0
Ameivula_abaetensis	72.0	10.7
Ameivula_abalosi	71.6	10.5
Ameivula_cipoensis	71.3	10.4
Ameivula_confusioniba	76.5	12.7
Ameivula_cyanura	81.9	16.0
Ameivula_jalapensis	58.0	5.5
Ameivula_littoralis	81.8	15.9
Ameivula_mumbuca	59.0	5.8
Ameivula_nativo	69.5	9.6
Ameivula_nigrigula	90.1	21.5
Ameivula_ocellifera	120.0	52.4
Ameivula_pyrrhogularis	89.0	20.7
Ameivula_venetacauda	87.0	19.3
Ameivula_xacriaba	70.2	9.9
Amerotyphlops_amoipira	297.0	13.2
Amerotyphlops_arenensis	233.0	5.4
Amerotyphlops_brongersmianus	325.0	18.4
Amerotyphlops_costaricensis	360.0	26.8
Amerotyphlops_lehneri	185.0	2.3
Amerotyphlops_microstomus	366.0	28.5
Amerotyphlops_minuisquamus	361.0	27.1
Amerotyphlops_paucisquamus	158.0	1.3
Amerotyphlops_reticulatus	522.0	105.8
Amerotyphlops_stadelmani	310.0	15.4
Amerotyphlops_tasymicris	196.0	2.8
Amerotyphlops_tenuis	326.0	18.6
Amerotyphlops_trinitatus	240.0	6.0
Amerotyphlops_tycherus	371.0	30.0
Amerotyphlops_yonenagae	101.0	0.2
Amnesteophis_melanauchen	375.0	14.0
Amphibolurus_muricatus	125.0	66.8
Amphibolurus_norrisi	117.0	54.4
Amphiesma_stolatum	800.0	135.8
Amphiesmoides_ornaticeps	840.0	159.5
Amphiglossus_alluaudi	85.0	12.7
Amphiglossus_andranovahensis	38.0	0.5
Amphiglossus_anosyensis	65.0	5.4
Amphiglossus_ardouini	137.0	11.9
Amphiglossus_astrolabi	226.0	299.5
Amphiglossus_crenni	164.0	18.5
Amphiglossus_decaryi	43.0	1.4
Amphiglossus_elongatus	100.0	21.5
Amphiglossus_frontoparietalis	76.0	8.9
Amphiglossus_gastrostictus	106.0	26.0
Amphiglossus_johannae	102.0	22.9
Amphiglossus_macrocercus	110.0	29.3
Amphiglossus_mandady	62.0	1.7
Amphiglossus_mandokava	171.0	121.7
Amphiglossus_melanurus	112.0	31.0
Amphiglossus_meva	150.0	79.7
Amphiglossus_ornaticeps	62.0	1.7
Amphiglossus_punctatus	73.0	7.8
Amphiglossus_reticulatus	220.0	274.6
Amphiglossus_spilostichus	81.5	11.1
Amphiglossus_splendidus	117.0	35.7
Amphiglossus_tanysoma	103.0	5.9
Amphiglossus_tsaratananensis	84.1	12.3
Amphiglossus_valhallae	106.0	26.0
Amphisbaena_absaberi	242.0	8.0
Amphisbaena_alba	810.0	1016.9
Amphisbaena_albocingulata	138.0	0.8
Amphisbaena_amazonica	342.0	32.1
Amphisbaena_anaemariae	179.0	2.4
Amphisbaena_angustifrons	345.0	33.3
Amphisbaena_anomala	273.0	13.0
Amphisbaena_arda	285.0	15.5
Amphisbaena_arenaria	195.0	3.4
Amphisbaena_bahiana	215.0	5.0
Amphisbaena_bakeri	260.0	10.7
Amphisbaena_barbouri	177.0	2.3
Amphisbaena_bassleri	450.0	96.5
Amphisbaena_bedai	290.0	16.6
Amphisbaena_bilabialatus	307.0	20.8
Amphisbaena_bolivica	569.0	247.0
Amphisbaena_borelli	193.0	3.2
Amphisbaena_brasiliana	317.0	23.7
Amphisbaena_brevis	137.0	0.8
Amphisbaena_caeca	291.0	16.8
Amphisbaena_caiari	157.0	1.4
Amphisbaena_camura	535.0	193.0
Amphisbaena_carlgansi	168.0	1.9
Amphisbaena_carli	269.0	12.3
Amphisbaena_carvalhoi	129.0	0.6
Amphisbaena_caudalis	269.0	12.3
Amphisbaena_cayemite	220.0	5.5
Amphisbaena_cegei	229.0	6.4
