	SVL	Mass
Hypsilurus_dilophus	220.0	386.6
Hypsilurus_geelvinkianus	100.0	33.4
Hypsilurus_godeffroyi	235.0	474.4
Hypsilurus_hikidanus	158.0	138.3
Hypsilurus_longi	235.0	474.4
Hypsilurus_macrolepis	140.0	95.0
Hypsilurus_magnus	232.0	455.9
Hypsilurus_modestus	107.0	41.2
Hypsilurus_nigrigularis	230.0	443.8
Hypsilurus_ornatus	155.0	130.3
Hypsilurus_papuensis	228.6	435.4
Hypsilurus_schoedei	128.0	71.9
Hypsilurus_schultzewestrumi	166.0	161.2
Hypsilurus_spinipes	136.0	86.8
Hypsilurus_tenuicephalus	151.0	120.1
Hypsirhynchus_ater	850.0	192.0
Hypsirhynchus_callilaemus	465.0	41.0
Hypsirhynchus_ferox	773.0	150.5
Hypsirhynchus_funereus	479.0	44.2
Hypsirhynchus_melanichnus	630.0	89.1
Hypsirhynchus_parvifrons	557.0	65.0
Hypsirhynchus_polylepis	455.0	38.7
Hypsirhynchus_scalaris	592.0	76.0
Hypsiscopus_matannensis	563.0	83.5
Hypsiscopus_plumbea	560.0	81.9
Ialtris_agyrtes	576.0	70.9
Ialtris_dorsalis	990.0	283.7
Ialtris_haetianus	305.0	13.9
Ialtris_parishi	745.0	137.0
Iberolacerta_aranica	66.9	7.0
Iberolacerta_aurelioi	65.3	6.5
Iberolacerta_bonnali	65.4	6.5
Iberolacerta_cyreni	91.0	17.3
Iberolacerta_galani	85.0	14.1
Iberolacerta_horvathi	65.0	6.4
Iberolacerta_martinezricai	69.3	7.6
Iberolacerta_monticola	84.6	14.0
Ichnotropis_bivittata	78.0	11.0
Ichnotropis_capensis	68.0	7.3
Ichnotropis_chapini	58.0	4.6
Ichnotropis_grandiceps	70.0	8.0
Ichnotropis_microlepidota	52.0	3.3
Iguana_delicatissima	434.0	3472.3
Iguana_iguana	580.0	8220.7
Iguanognathus_werneri	350.0	8.9
Imantodes_cenchoa	1554.0	515.8
Imantodes_chocoensis	1075.0	202.6
Imantodes_gemmistratus	880.0	122.0
Imantodes_inornatus	1035.0	184.0
Imantodes_lentiferus	1200.0	267.8
Imantodes_phantasma	1082.0	206.0
Imantodes_tenuissimus	660.0	58.8
Indotyphlops_ahsanai	170.0	1.7
Indotyphlops_albiceps	302.0	14.0
Indotyphlops_braminus	180.0	2.1
Indotyphlops_exiguus	196.0	2.8
Indotyphlops_filiformis	135.0	0.7
Indotyphlops_fletcheri	149.0	1.0
Indotyphlops_jerdoni	280.0	10.6
Indotyphlops_khoratensis	141.0	0.8
Indotyphlops_lankaensis	130.0	0.6
Indotyphlops_lazelli	158.0	1.3
Indotyphlops_leucomelas	130.0	0.6
Indotyphlops_loveridgei	208.0	3.5
Indotyphlops_madgemintonae	200.0	3.1
Indotyphlops_malcolmi	107.0	0.3
Indotyphlops_meszoelyi	179.0	2.0
Indotyphlops_ozakiae	176.0	1.9
Indotyphlops_pammeces	145.0	0.9
Indotyphlops_porrectus	285.0	11.3
Indotyphlops_schmutzi	140.0	0.8
Indotyphlops_tenebrarum	112.0	0.4
Indotyphlops_tenuicollis	365.0	28.2
Indotyphlops_veddae	91.0	0.2
Indotyphlops_violaceus	111.0	0.3
Insulasaurus_arborens	66.3	5.7
Insulasaurus_traanorum	53.2	2.8
Insulasaurus_victoria	47.2	1.9
Insulasaurus_wrighti	70.0	6.8
Intellagama_lesueurii	289.0	901.8
Inyoka_swazicus	900.0	111.7
Iphisa_elegans	63.0	1.7
Iranolacerta_brandtii	76.4	10.3
Iranolacerta_zagrosica	76.0	10.2
Isopachys_anguinoides	95.0	2.2
Isopachys_borealis	177.0	9.2
Isopachys_gyldenstolpei	220.0	15.2
Isopachys_roulei	109.0	3.0
Ithycyphus_blanci	610.0	37.3
Ithycyphus_goudoti	875.0	103.1
Ithycyphus_miniatus	1700.0	671.6
Ithycyphus_oursi	1568.0	534.7
Ithycyphus_perineti	1530.0	498.9
Janetaescincus_braueri	53.0	1.1
Janetaescincus_veseyfitzgeraldi	37.0	0.5
Japalura_andersoniana	75.0	13.7
Japalura_batangensis	73.0	12.6
Japalura_brevicauda	64.0	8.4
Japalura_brevipes	73.0	12.6
Japalura_chapaensis	59.6	6.7
Japalura_dasi	64.5	8.6
Japalura_dymondi	98.0	31.4
Japalura_fasciata	82.0	18.0
Japalura_flaviceps	86.0	20.9
Japalura_grahami	51.0	4.1
Japalura_hamptoni	78.0	15.5
Japalura_kumaonensis	63.0	8.0
Japalura_luei	74.5	13.4
Japalura_major	94.0	27.6
Japalura_makii	84.0	19.4
Japalura_micangshanensis	72.0	12.1
Japalura_otai	58.7	6.4
Japalura_planidorsata	53.0	4.7
Japalura_polygonata	80.2	16.8
Japalura_sagittifera	63.9	8.3
Japalura_splendida	100.0	33.4
Japalura_swinhonis	87.0	21.7
Japalura_tricarinata	58.5	6.3
Japalura_varcoae	85.0	20.2
Japalura_variegata	121.9	61.8
Japalura_yulongensis	60.0	6.8
Japalura_yunnanensis	88.0	22.5
Japalura_zhaoermii	85.0	20.2
Jarujinia_bipedalis	88.2	4.0
Kaestlea_beddomii	58.0	3.7
Kaestlea_bilineata	65.0	5.4
Kaestlea_laterimaculata	49.8	2.3
Kaestlea_palnica	56.2	3.3
Kaestlea_travancorica	63.0	4.8
Kaieteurosaurus_hindsi	44.4	1.8
Kanakysaurus_viviparus	83.0	11.8
Kanakysaurus_zebratus	72.0	7.5
Karnsophis_siantaris	465.0	41.8
Karusasaurus_jordani	127.0	63.6
Karusasaurus_polyzonus	116.0	46.0
Kentropyx_altamazonica	114.0	44.7
Kentropyx_borckiana	101.0	30.7
Kentropyx_calcarata	119.0	51.0
Kentropyx_lagartija	87.0	19.3
Kentropyx_paulensis	77.0	13.2
Kentropyx_pelviceps	130.0	67.2
Kentropyx_striata	127.0	62.5
Kentropyx_vanzoi	85.0	17.9
Kentropyx_viridistriga	107.0	36.7
Kinyongia_adolfifriderici	66.2	7.6
Kinyongia_asheorum	92.0	18.4
Kinyongia_boehmei	97.0	21.3
Kinyongia_carpenteri	115.0	33.5
Kinyongia_excubitor	77.0	11.4
Kinyongia_fischeri	200.0	147.8
Kinyongia_gyrolepis	71.4	9.4
Kinyongia_magomberae	72.0	9.6
Kinyongia_matschiei	157.0	77.3
Kinyongia_multituberculata	137.0	53.6
Kinyongia_oxyrhina	72.0	9.6
Kinyongia_tavetana	97.0	21.3
Kinyongia_tenuis	70.0	8.9
Kinyongia_uluguruensis	93.0	19.0
Kinyongia_uthmoelleri	93.0	19.0
Kinyongia_vanheygeni	66.0	7.6
Kinyongia_vosseleri	119.0	36.8
Kinyongia_xenorhina	103.0	25.0
Kolekanos_plumicaudus	47.0	2.4
Kolpophis_annandalei	910.0	201.1
Kualatahan_pahangensis	265.0	5.5
Lacerta_agilis	114.0	33.6
Lacerta_bilineata	130.0	49.6
Lacerta_media	160.0	91.5
Lacerta_mostoufii	65.0	6.4
Lacerta_pamphylica	120.0	39.1
Lacerta_schreiberi	135.0	55.4
Lacerta_strigata	160.0	91.5
Lacerta_trilineata	174.0	117.2
Lacerta_viridis	160.0	91.5
Lacertaspis_chriswildi	45.0	1.6
Lacertaspis_gemmiventris	81.0	10.9
Lacertaspis_lepesmei	58.0	3.7
Lacertaspis_reichenowi	54.0	2.9
Lacertaspis_rohdei	62.0	4.6
Lacertoides_pardalis	102.0	22.9
Lachesis_acrochorda	3000.0	12747.4
Lachesis_melanocephala	3900.0	27352.6
Lachesis_muta	3600.0	21669.1
Lachesis_stenophrys	3900.0	27352.6
Laemanctus_longipes	150.0	105.7
Laemanctus_serratus	190.0	227.5
Lamprolepis_leucosticta	74.0	8.1
Lamprolepis_nieuwenhuisii	72.0	7.5
Lamprolepis_smaragdina	116.0	34.8
Lamprolepis_vyneri	66.0	5.6
Lampropeltis_abnorma	1650.0	418.0
Lampropeltis_alterna	1471.0	312.3
Lampropeltis_annulata	1054.0	134.0
Lampropeltis_californiae	2000.0	681.3
Lampropeltis_calligaster	1427.0	289.1
Lampropeltis_elapsoides	686.0	45.0
Lampropeltis_extenuata	654.0	39.9
Lampropeltis_gentilis	914.0	93.3
Lampropeltis_getula	2083.0	755.4
Lampropeltis_holbrooki	1829.0	543.0
Lampropeltis_knoblochi	717.0	50.4
Lampropeltis_mexicana	605.0	32.7
Lampropeltis_micropholis	1990.0	672.6
Lampropeltis_nigra	1473.0	313.4
Lampropeltis_polyzona	1490.0	322.6
Lampropeltis_pyromelana	1088.0	145.2
Lampropeltis_ruthveni	800.0	66.5
Lampropeltis_splendida	1524.0	341.7
Lampropeltis_triangulum	1900.0	598.1
Lampropeltis_webbi	306.0	10.1
Lampropeltis_zonata	1230.0	198.3
Lamprophis_abyssinicus	640.0	42.7
Lamprophis_aurora	620.0	39.0
Lamprophis_erlangeri	1200.0	251.4
Lamprophis_fiskii	400.0	11.3
Lamprophis_fuscus	760.0	69.3
Lamprophis_geometricus	914.0	116.6
Lamprophis_guttatus	620.0	39.0
Lampropholis_adonis	53.0	2.8
Lampropholis_amicula	35.0	0.7
Lampropholis_caligula	54.0	2.9
Lampropholis_coggeri	45.0	1.6
Lampropholis_colossus	56.0	3.3
Lampropholis_couperi	49.0	2.2
Lampropholis_delicata	55.0	3.1
Lampropholis_elongata	53.0	2.8
Lampropholis_guichenoti	52.0	2.6
Lampropholis_mirabilis	52.0	2.6
Lampropholis_robertsi	55.0	3.1
Langaha_alluaudi	1100.0	196.7
Langaha_madagascariensis	1000.0	150.3
Langaha_pseudoalluaudi	1290.0	308.3
Lankascincus_deignani	58.0	3.7
Lankascincus_deraniyagalae	60.0	4.1
Lankascincus_dorsicatenatus	46.5	1.8
Lankascincus_fallax	55.0	3.1
Lankascincus_gansi	55.0	3.1
Lankascincus_greeri	58.5	3.8
Lankascincus_munindradasai	45.0	1.6
Lankascincus_sripadensis	58.3	3.8
Lankascincus_taprobanensis	58.0	3.7
Lankascincus_taylori	52.0	2.6
Lanthanotus_borneensis	400.0	1335.0
Larutia_larutensis	191.0	27.0
Larutia_miodactyla	151.0	15.1
Larutia_nubisilvicola	119.0	8.4
Larutia_puehensis	141.0	12.8
Larutia_seribuatensis	115.0	7.7
Larutia_sumatrensis	176.0	22.1
Larutia_trifasciata	250.0	52.6
Latastia_boscai	58.0	4.6
Latastia_caeruleopunctata	83.0	13.2
Latastia_cherchii	74.6	9.6
Latastia_doriai	87.3	15.3
Latastia_johnstonii	64.1	6.2
Latastia_longicaudata	110.0	30.3
Latastia_ornata	78.0	11.0
Latastia_petersiana	95.0	19.6
Latastia_siebenrocki	49.8	2.9
Latastia_taylori	43.0	1.9
Laticauda_colubrina	1420.0	586.9
Laticauda_crockeri	885.0	188.1
Laticauda_frontalis	783.0	160.8
Laticauda_guineai	1457.0	624.4
Laticauda_laticaudata	1100.0	317.4
Laticauda_saintgironsi	1090.0	362.1
Laticauda_schistorhynchus	860.0	175.5
Laticauda_semifasciata	1350.0	519.7
Laudakia_agrorensis	113.0	48.8
Laudakia_dayana	78.9	16.0
Laudakia_melanura	145.0	105.9
Laudakia_nupta	172.0	180.0
Laudakia_nuristanica	135.0	84.9
Laudakia_pakistanica	150.0	117.7
Laudakia_papenfussi	124.0	65.2
Laudakia_sacra	147.0	110.5
Laudakia_tuberculata	150.0	117.7
Laudakia_wui	118.0	55.9
Leiocephalus_anonymous	135.0	75.1
Leiocephalus_apertosulcus	200.0	268.7
Leiocephalus_barahonensis	84.0	16.1
Leiocephalus_carinatus	133.2	71.9
Leiocephalus_cubensis	121.0	52.7
Leiocephalus_cuneus	200.0	268.7
Leiocephalus_endomychus	69.0	8.5
Leiocephalus_eremitus	64.0	6.7
Leiocephalus_etheridgei	115.0	44.7
Leiocephalus_greenwayi	75.0	11.2
Leiocephalus_herminieri	140.0	84.5
Leiocephalus_inaguae	90.0	20.2
Leiocephalus_jamaicensis	170.0	158.6
Leiocephalus_loxogrammus	92.0	21.7
Leiocephalus_lunatus	67.0	7.7
Leiocephalus_macropus	95.0	24.0
Leiocephalus_melanochlorus	130.0	66.5
Leiocephalus_onaneyi	73.0	10.2
Leiocephalus_partidus	130.0	66.5
Leiocephalus_personatus	108.0	36.4
Leiocephalus_pratensis	64.0	6.7
Leiocephalus_psammodromus	110.0	38.7
Leiocephalus_punctatus	80.0	13.8
Leiocephalus_raviceps	74.1	10.7
Leiocephalus_rhutidira	66.0	7.4
Leiocephalus_schreibersii	107.0	35.3
Leiocephalus_semilineatus	53.0	3.6
Leiocephalus_stictigaster	100.0	28.4
Leiocephalus_vinculum	77.0	12.2
Leioheterodon_geayi	1400.0	388.4
Leioheterodon_madagascariensis	1500.0	471.8
Leioheterodon_modestus	1200.0	251.4
Leiolepis_belliana	177.8	199.5
Leiolepis_boehmei	126.0	68.5
Leiolepis_guentherpetersi	156.0	132.9
Leiolepis_guttata	250.0	574.9
Leiolepis_ngovantrii	126.5	69.3
Leiolepis_peguensis	162.0	149.5
Leiolepis_reevesii	190.0	245.2
Leiolepis_rubritaeniata	166.0	161.2
Leiolepis_triploida	148.0	112.9
Leiolopisma_alazon	65.0	5.4
Leiolopisma_ceciliae	175.0	131.2
Leiolopisma_mauritiana	340.0	1119.8
Leiolopisma_telfairii	171.0	121.7
Leiosaurus_bellii	110.0	41.9
Leiosaurus_catamarcensis	120.0	56.2
Leiosaurus_jaguaris	111.0	27.8
Leiosaurus_paronae	110.0	41.9
Lemuriatyphlops_domerguei	176.0	1.9
Lemuriatyphlops_microcephalus	235.0	5.6
Lemuriatyphlops_reuteri	222.0	4.5
Lepidoblepharis_buchwaldi	23.0	0.3
Lepidoblepharis_colombianus	46.0	2.4
Lepidoblepharis_conolepis	44.0	2.1
Lepidoblepharis_duolepis	38.0	1.4
Lepidoblepharis_festae	47.0	2.6
Lepidoblepharis_grandis	56.0	4.3
Lepidoblepharis_heyerorum	35.0	1.1
Lepidoblepharis_hoogmoedi	38.0	1.4
Lepidoblepharis_intermedius	33.0	0.9
Lepidoblepharis_microlepis	25.0	0.4
Lepidoblepharis_miyatai	22.0	0.3
Lepidoblepharis_montecanoensis	21.0	0.2
Lepidoblepharis_oxycephalus	32.0	0.8
Lepidoblepharis_peraccae	29.0	0.6
Lepidoblepharis_ruthveni	46.0	2.4
Lepidoblepharis_sanctaemartae	35.0	1.1
Lepidoblepharis_williamsi	30.0	0.7
Lepidoblepharis_xanthostigma	45.0	2.2
Lepidodactylus_aureolineatus	44.2	2.0
Lepidodactylus_balioburius	38.7	1.4
Lepidodactylus_browni	47.5	2.4
Lepidodactylus_buleli	37.5	1.3
Lepidodactylus_christiani	45.6	2.2
Lepidodactylus_euaensis	50.0	2.8
Lepidodactylus_flaviocularis	49.0	2.7
Lepidodactylus_gardineri	53.4	3.4
Lepidodactylus_guppyi	54.4	3.6
Lepidodactylus_herrei	55.0	3.7
Lepidodactylus_intermedius	42.0	1.7
Lepidodactylus_labialis	63.0	5.3
Lepidodactylus_listeri	51.5	3.1
Lepidodactylus_lombocensis	38.6	1.4
Lepidodactylus_lugubris	51.0	3.0
Lepidodactylus_magnus	71.0	7.4
Lepidodactylus_manni	48.1	2.5
Lepidodactylus_moestus	40.5	1.6
Lepidodactylus_mutahi	56.3	3.9
Lepidodactylus_novaeguineae	45.0	2.1
Lepidodactylus_oligoporus	48.0	2.5
Lepidodactylus_oortii	57.0	4.0
Lepidodactylus_orientalis	43.0	1.9
Lepidodactylus_paurolepis	39.4	1.5
Lepidodactylus_planicaudus	41.5	1.7
Lepidodactylus_pulcher	55.0	3.7
Lepidodactylus_pumilus	48.0	2.5
Lepidodactylus_ranauensis	47.7	2.5
Lepidodactylus_shebae	36.2	1.2
Lepidodactylus_tepukapili	50.3	2.9
Lepidodactylus_vanuatuensis	47.4	2.4
Lepidodactylus_woodfordi	41.0	1.6
Lepidodactylus_yami	42.1	1.7
Lepidophyma_chicoasensis	117.0	32.2
Lepidophyma_cuicateca	52.8	2.8
Lepidophyma_dontomasi	56.0	3.4
Lepidophyma_flavimaculatum	153.0	72.9
Lepidophyma_gaigeae	66.0	5.6
Lepidophyma_lineri	37.0	1.0
Lepidophyma_lipetzi	55.0	3.2
Lepidophyma_lowei	60.0	4.2
Lepidophyma_mayae	90.0	14.5
Lepidophyma_micropholis	111.0	27.4
Lepidophyma_occulor	145.0	23.2
Lepidophyma_pajapanensis	83.0	11.3
Lepidophyma_radula	52.8	2.8
Lepidophyma_reticulatum	103.0	21.8
Lepidophyma_smithii	112.0	28.2
Lepidophyma_sylvaticum	113.0	29.0
Lepidophyma_tarascae	93.0	16.0
Lepidophyma_tuxtlae	97.0	18.2
Lepidophyma_zongolica	72.0	7.3
Lepidothyris_fernandi	180.0	143.6
Lepidothyris_hinkeli	146.0	73.1
Lepidothyris_striatus	166.5	111.7
Leposoma_annectans	38.0	1.1
Leposoma_baturitensis	36.0	0.9
Leposoma_caparensis	41.6	1.5
Leposoma_ferreirai	34.5	0.8
Leposoma_guianense	39.0	1.2
Leposoma_hexalepis	41.1	1.4
Leposoma_ioanna	41.0	1.4
Leposoma_nanodactylus	34.0	0.8
Leposoma_osvaldoi	37.0	1.0
Leposoma_parietale	45.0	1.9
Leposoma_percarinatum	37.0	1.0
Leposoma_puk	41.8	1.5
Leposoma_rugiceps	44.0	1.8
Leposoma_scincoides	45.9	2.0
Leposoma_sinepollex	34.4	0.8
Leposoma_snethlageae	33.0	0.7
Leposoma_southi	55.0	3.7
Leptodeira_annulata	1038.0	185.4
Leptodeira_bakeri	691.0	66.1
Leptodeira_frenata	715.0	72.0
Leptodeira_maculata	630.0	89.1
Leptodeira_nigrofasciata	581.0	42.6
Leptodeira_polysticta	960.0	152.1
Leptodeira_punctata	523.0	55.3
Leptodeira_rhombifera	790.0	92.8
Leptodeira_rubricata	700.0	68.3
Leptodeira_septentrionalis	1055.0	193.2
Leptodeira_splendida	888.0	124.8
Leptodeira_uribei	542.0	60.6
Leptodrymus_pulcherrimus	975.0	109.9
Leptophis_ahaetulla	2250.0	918.7
Leptophis_coeruleodorsus	933.0	189.2
Leptophis_cupreus	1326.0	240.0
Leptophis_depressirostris	1500.0	328.2
Leptophis_diplotropis	1410.0	280.5
Leptophis_haileyi	1406.0	278.4
Leptophis_mexicanus	1270.0	215.1
Leptophis_modestus	1720.0	464.5
Leptophis_nebulosus	854.0	78.5
Leptophis_riveti	1000.0	117.2
Leptophis_stimsoni	593.0	31.1
Leptoseps_osellai	41.0	0.6
Leptoseps_poilani	43.0	0.7
Leptosiaphos_aloysiisabaudiae	45.5	0.8
Leptosiaphos_amieti	51.0	2.4
Leptosiaphos_blochmanni	55.0	3.1
Leptosiaphos_dewittei	59.0	3.9
Leptosiaphos_dungeri	60.0	4.1
Leptosiaphos_fuhni	45.0	1.6
Leptosiaphos_graueri	75.0	2.7
Leptosiaphos_hackarsi	61.0	1.6
Leptosiaphos_hylophilus	37.7	0.9
Leptosiaphos_ianthinoxantha	63.0	4.8
Leptosiaphos_kilimensis	73.0	7.8
Leptosiaphos_koutoui	49.0	2.2
Leptosiaphos_luberoensis	56.0	3.3
Leptosiaphos_meleagris	75.0	2.7
Leptosiaphos_pauliani	53.0	2.8
Leptosiaphos_rhodurus	84.2	12.4
Leptosiaphos_rhomboidalis	54.0	2.9
Leptosiaphos_vigintiserierum	50.0	2.3
Leptotyphlops_aethiopicus	161.0	1.4
Leptotyphlops_conjunctus	191.0	2.1
Leptotyphlops_distanti	240.0	3.4
Leptotyphlops_emini	165.0	1.5
Leptotyphlops_howelli	158.0	1.4
Leptotyphlops_incognitus	193.0	2.1
Leptotyphlops_jacobseni	210.0	2.5
Leptotyphlops_kafubi	177.5	1.8
Leptotyphlops_keniensis	189.0	2.0
Leptotyphlops_latirostris	155.0	1.3
Leptotyphlops_macrops	292.0	5.2
Leptotyphlops_mbanjensis	134.5	1.0
Leptotyphlops_merkeri	231.0	3.1
Leptotyphlops_nigricans	200.0	2.3
Leptotyphlops_nigroterminus	193.0	2.1
Leptotyphlops_nursii	250.0	3.7
Leptotyphlops_pembae	220.0	2.8
Leptotyphlops_pitmani	185.0	1.9
Leptotyphlops_pungwensis	90.0	0.4
Leptotyphlops_scutifrons	280.0	4.7
Leptotyphlops_sylvicolus	126.0	0.8
Leptotyphlops_tanae	102.5	0.5
Leptotyphlops_telloi	180.0	1.8
Lepturophis_albofuscus	2000.0	681.3
Lerista_aericeps	54.0	1.2
Lerista_allanae	92.0	4.4
Lerista_allochira	40.0	0.6
Lerista_ameles	67.0	1.0
Lerista_amicorum	49.0	0.9
Lerista_apoda	78.0	1.4
Lerista_arenicola	66.0	5.6
Lerista_axillaris	87.0	3.9
Lerista_baynesi	91.0	4.3
Lerista_bipes	67.0	2.0
Lerista_borealis	63.0	1.7
Lerista_bougainvillii	74.0	8.1
Lerista_bunglebungle	59.0	1.5
Lerista_carpentariae	70.0	2.3
Lerista_chalybura	50.0	1.0
Lerista_chordae	45.1	0.8
Lerista_christinae	40.0	0.6
Lerista_cinerea	72.0	2.4
Lerista_clara	49.0	0.9
Lerista_colliveri	90.0	4.2
Lerista_connivens	86.0	3.8
Lerista_desertorum	93.0	4.6
Lerista_distinguenda	51.0	1.0
Lerista_dorsalis	71.0	2.3
Lerista_edwardsae	95.0	4.8
Lerista_elegans	45.0	0.8
Lerista_elongata	60.0	1.5
Lerista_emmotti	103.0	5.9
Lerista_eupoda	90.0	4.2
Lerista_flammicauda	56.0	1.3
Lerista_fragilis	60.0	1.5
Lerista_frosti	68.0	2.1
Lerista_gascoynensis	70.0	2.3
Lerista_gerrardii	87.0	3.9
Lerista_greeri	65.0	1.9
Lerista_griffini	67.0	2.0
Lerista_haroldi	40.0	0.6
Lerista_humphriesi	65.0	0.9
Lerista_ingrami	36.0	0.4
Lerista_ips	72.0	2.4
Lerista_jacksoni	46.0	0.8
Lerista_kalumburu	63.0	1.7
Lerista_karlschmidti	70.9	2.3
Lerista_kendricki	67.0	2.0
Lerista_kennedyensis	58.0	1.4
Lerista_kingi	46.0	0.8
Lerista_labialis	60.0	1.5
Lerista_lineata	62.0	1.7
Lerista_lineopunctulata	112.7	7.3
Lerista_macropisthopus	100.0	5.5
Lerista_maculosa	41.0	0.6
Lerista_micra	46.0	0.8
Lerista_microtis	60.0	4.1
Lerista_muelleri	50.0	1.0
Lerista_neander	88.0	4.0
Lerista_nevinae	41.0	0.6
Lerista_nichollsi	68.0	2.1
Lerista_occulta	39.0	0.5
Lerista_onsloviana	70.0	2.3
Lerista_orientalis	49.0	0.9
Lerista_petersoni	70.0	2.3
Lerista_picturata	92.0	4.4
Lerista_planiventralis	72.0	2.4
Lerista_praefrontalis	70.0	2.3
Lerista_praepedita	66.0	1.0
Lerista_punctatovittata	105.0	6.2
Lerista_puncticauda	86.0	3.8
Lerista_quadrivincula	52.0	1.1
Lerista_rhodonoides	49.0	0.9
Lerista_robusta	64.0	1.8
Lerista_rochfordensis	82.0	3.3
Lerista_rolfei	48.0	0.9
Lerista_separanda	32.0	0.3
Lerista_simillima	55.0	1.2
Lerista_speciosa	51.0	1.0
Lerista_stictopleura	58.0	1.4
Lerista_storri	73.0	2.5
Lerista_stylis	75.0	1.3
Lerista_taeniata	44.0	0.7
Lerista_talpina	36.0	0.4
Lerista_terdigitata	70.0	2.3
Lerista_tridactyla	56.0	1.3
Lerista_uniduo	61.0	1.6
Lerista_varia	85.0	3.7
Lerista_verhmens	50.0	1.0
Lerista_vermicularis	42.0	0.6
Lerista_viduata	45.0	1.6
Lerista_vittata	76.0	2.8
Lerista_walkeri	63.0	1.7
Lerista_wilkinsi	75.0	2.7
Lerista_xanthura	58.0	1.4
Lerista_yuna	66.0	2.0
Lerista_zietzi	54.0	1.2
Lerista_zonulata	50.0	1.0
Letheobia_acutirostrata	447.0	59.6
Letheobia_caeca	425.0	49.5
Letheobia_crossii	310.0	15.4
Letheobia_debilis	478.0	76.4
Letheobia_episcopus	337.0	21.0
Letheobia_erythraea	245.0	6.5
Letheobia_feae	330.0	19.4
Letheobia_gracilis	540.0	119.9
Letheobia_graueri	450.0	61.1
Letheobia_jubana	510.0	97.1
Letheobia_kibarae	525.0	108.0
Letheobia_largeni	274.0	9.8
Letheobia_leucosticta	230.0	5.1
Letheobia_lumbriciformis	445.0	58.7
Letheobia_newtoni	400.0	39.6
Letheobia_pallida	265.0	8.7
Letheobia_pauwelsi	310.0	15.4
Letheobia_pembana	158.0	1.3
Letheobia_praeocularis	340.0	21.7
Letheobia_rufescens	490.0	83.7
Letheobia_simonii	239.0	5.9
Letheobia_somalica	550.0	128.3
Letheobia_stejnegeri	465.0	69.0
Letheobia_sudanensis	520.0	104.3
Letheobia_swahilica	190.0	2.5
Letheobia_toritensis	267.5	9.0
Letheobia_uluguruensis	245.0	6.5
Letheobia_wittei	310.0	15.4
Lialis_burtonis	300.0	22.8
Lialis_jicari	314.0	24.2
Liasis_fuscus	3000.0	10123.4
Liasis_mackloti	2500.0	6242.2
Liasis_olivaceus	4000.0	21710.2
Liasis_papuana	4270.0	25816.3
Liburnascincus_coensis	68.0	6.2
Liburnascincus_mundivensis	60.0	4.1
Liburnascincus_scirtetis	70.0	6.8
Lichanura_orcutti	870.0	323.0
Lichanura_trivirgata	1120.0	664.6
Limnophis_bangweolicus	625.0	35.5
Limnophis_bicolor	660.0	40.8
Liodytes_alleni	705.0	89.4
Liodytes_pygaea	555.0	40.6
Liodytes_rigida	797.0	134.1
Lioheterophis_iheringi	360.0	12.6
Liolaemus_abaucan	65.0	8.6
Liolaemus_abdalai	50.2	3.9
Liolaemus_acostai	76.7	14.4
Liolaemus_albiceps	94.0	27.1
Liolaemus_alticolor	55.2	5.2
Liolaemus_andinus	91.0	24.5
Liolaemus_annectens	86.0	20.6
Liolaemus_anomalus	95.0	28.0
Liolaemus_antumalguen	107.8	41.4
Liolaemus_aparicioi	58.5	6.2
Liolaemus_arambarensis	60.0	6.7
Liolaemus_araucaniensis	60.9	7.1
Liolaemus_archeforus	92.0	25.3
Liolaemus_atacamensis	77.0	14.6
Liolaemus_audituvelatus	60.0	6.7
Liolaemus_austromendocinus	104.0	37.0
Liolaemus_avilai	61.3	7.2
Liolaemus_azarai	54.3	5.0
Liolaemus_baguali	87.0	21.3
Liolaemus_bellii	94.0	27.1
Liolaemus_bibronii	70.0	10.9
Liolaemus_bitaeniatus	62.0	7.5
Liolaemus_boulengeri	78.0	15.2
Liolaemus_buergeri	111.0	45.3
Liolaemus_burmeisteri	85.2	20.0
Liolaemus_calchaqui	60.0	6.7
Liolaemus_camarones	107.4	40.9
Liolaemus_canqueli	100.0	32.8
Liolaemus_caparensis	59.0	6.4
Liolaemus_capillitas	93.0	26.2
Liolaemus_carlosgarini	68.8	10.3
Liolaemus_casamiquelai	106.2	39.5
Liolaemus_cazianiae	76.3	14.2
Liolaemus_ceii	90.0	23.7
Liolaemus_chacabucoense	63.0	7.8
Liolaemus_chacoensis	55.0	5.2
Liolaemus_chaltin	58.7	6.3
Liolaemus_chavin	66.5	9.3
Liolaemus_chehuachekenk	103.6	36.6
Liolaemus_chiliensis	106.0	39.3
Liolaemus_chillanensis	89.0	22.9
Liolaemus_chlorostictus	85.0	19.8
Liolaemus_choique	90.7	24.2
Liolaemus_chungara	55.6	5.3
Liolaemus_cinereus	63.0	7.8
Liolaemus_coeruleus	70.0	10.9
Liolaemus_confusus	65.1	8.7
Liolaemus_constanzae	76.7	14.4
Liolaemus_crandalli	93.4	26.6
Liolaemus_cranwelli	57.5	5.9
Liolaemus_crepuscularis	64.1	8.3
Liolaemus_cristiani	78.2	15.3
Liolaemus_curicensis	69.0	10.4
Liolaemus_curis	103.4	36.4
Liolaemus_cuyanus	104.3	37.4
Liolaemus_cuyumhue	61.7	7.4
Liolaemus_cyaneinotatus	59.2	6.5
Liolaemus_cyanogaster	71.0	11.4
